224.83,-6792.4,-5953.6
220.78,13675,3545.5
-10123,8477.1,-3244.1
4045.4,5808.3,-4841.6
12032,-6580.7,6263.5
3099.9,-4817.5,16231
3657.4,-4293.5,1521.7
229.96,3200.9,-5715.7
-6781.3,8758.9,-8637.9
4516,1449.6,-5337
5442.1,-12665,17911
8918.3,2857.3,4102.5
379.8,7687.3,-2380
1796.6,9519.2,-8733.8
-2698.6,-1461,-10408
-5248.2,-5689.1,2132.7
-13270,-4499,12872
-3245.1,-6390.2,3079.2
5468.3,-67.539,-2596.1
2343.3,7584.6,-7220
5147.4,9062.3,-6326.7
-2296.3,-5137.8,3853.5
-18057,-9744.4,9711.4
-5348.8,-10381,-1329
2879.7,-1780.4,-1679.6
4154.2,9347.8,-3659.7
6284.1,7930.1,-6259.3
7479,-7750.5,14514
12669,-498.01,6512.5
4818.7,9488.8,-2786.9
-3851.7,410.43,-10975
1607.3,4925.6,-6527.3
-1428,-3696.1,-2762.8
-10916,-4767.5,8584.7
-19390,-6316.5,8593
902.46,-5622.7,4091.4
6977.5,1839.3,-3901.8
129.79,14582,-6029.5
2059.8,9559.7,-8330.1
13086,-20995,9081.7
11001,-1069.6,855.14
753.3,3000.3,-3103.4
-3687.8,4776.3,-1338.7
-2093.7,9213.1,999.87
-605.25,8210.5,-2943.9
-20016,-24867,6488
-7217.5,-6767.9,-3628.1
-1675.7,3173.1,-1188.5
7403.1,7993.8,2904.6
-2251.9,11483,1507.8
4329.1,849.66,-7065.8
18299,-19232,5451.2
3311.8,3027,-6666.9
-2294,6466.1,-1330.1
-4413,8226.5,5138.7
418.13,4662.7,399.79
4298.4,5285,156.07
-15379,-25405,1854.5
-3314.1,-2821.9,-891.77
-7236.2,-368.39,-227.52
478.53,235.6,-214.55
-2004.2,5232.9,-487.85
6832.1,13641,4293.2
13118,-17338,-4913.3
4299,-1090.6,-2825.7
909.42,2715.2,-2860.7
-5498.8,9515.8,9514
-115.47,3468,-1469.4
2235.2,7805.7,852.94
-4394.2,-32385,-5767.5
-13378,-6684,3608.2
-5861.4,-3560.8,-3551.3
9777.8,6431.4,-3525.8
-2628.4,14264,11827
6461.9,1896.8,-6264.2
8984.4,-10848,-6814.9
3431.7,3696.4,1242.9
251,4121.3,1413.6
-3381.8,7039.9,7736.2
-2300.8,4846.4,939.29
-474.72,-6899.3,-4937.7
-7156.4,-11071,42.855
-11390,-8393,488.25
8160.8,693.28,1237.1
1171.7,6624.3,-2322
-2013,10457,3016
8149.4,3081.2,359.05
4270.6,-15777,-11900
9090.1,1897.8,2837.2
-6145.3,8848,-73.891
-2045.3,5833,4235.8
819.16,8733,5313.3
-7705.5,-25835,-4091.8
-5714.8,-5368.6,-1978.9
3903.4,-5865.9,-4413.6
1277.1,9069,-3571.2
-5698.5,10219,5711.2
16256,819.7,7981.9
3734.7,-2415.9,-2744.8
-2214.2,6143.7,-124.29
-2706.5,6084.2,-212.57
1213.1,4960.4,-5811.5
-292.79,-2036.3,-3008.3
-6742.1,-10015,807.37
-12013,-17155,16027
7642.5,-8695.6,-5705.6
1680.7,9593,-5550.8
-9925.6,11040,-6752.7
-3116.6,18122,-7643.2
21750,-18267,26440
7501.8,-3743.6,-6149.7
-3786.5,10270,-3827.6
-3946.9,11753,-5023.9
4613.2,3804.5,-6485.4
1696.3,-12188,-6370.4
-25964,-15269,4297.3
269.33,5668.3,23088
2086.7,-316.2,9047.7
4959.3,-2816.6,-1604.4
-256.96,-5464,-206.33
10985,-1600.6,-8240.2
3211.1,6296.8,-12293
-4783.2,6656.5,-13875
-12253,3086.4,-5537.9
4137.3,-2607.1,1933.6
-2050.6,-4454.4,6026.4
4696.1,-438.09,6592.9
10262,5831.9,11968
-7401.8,2624.5,10852
-4444.2,-4156.9,3074.3
9551.7,-10952,-3548.4
5908.9,5908.4,-18740
-10237,4927.3,-7023.1
-1855.2,6602.1,-2569.7
-4419.4,5638.4,-7154.6
-800.47,-7712.1,-5315.9
-3606.1,-4609.5,6512.4
-12549,-8557.2,7847.3
19020,-3512,12160
-888.3,11306,12580
-8579.3,-234.36,3814.9
4209.8,-8167.4,2311.7
16716,1044.5,1012.4
4949.2,14365,-13944
-13624,7187.4,-6970.1
-6128.9,3474.6,-10645
1065,-4157.4,-11453
6655.2,-6663.7,-4182.5
6940.5,-2421.9,12762
1906.5,3565.7,13423
-12421,10346,12019
-751.6,1389.4,893.63
-1111.2,786.42,7323.8
13909,-17360,248.45
9295.9,519.83,-25338
-17332,1465.2,-6369.6
-11917,3848.3,3250.1
-5330.8,4725.5,-9712.7
4626.6,-11122,-10889
8811.9,-5706.8,11688
-3079.5,-1670.8,10774
3704.7,-9217.4,5660.3
-605.92,15663,7901.3
-5549.1,-10845,6737.2
9935,3452.8,781.94
10030,6173.7,2300.3
-6647.4,12685,-9777.5
-10108,5348,-12263
-6296.6,-312.21,-7682.7
-2395.4,614.25,-7450.5
